1	52	155	93
1	53	425	138
1	54	295	115
1	55	220	104
2	25	765	217
2	33	320	122
2	34	890	217
2	36	1095	296
2	39	640	191
2	40	100	78
3	39	510	164
3	40	660	179
3	49	675	182
3	51	355	144
3	55	205	101
4	8	113	202
4	9	89	143
4	10	144	248
5	17	240	274
5	18	120	168
6	29	30	91
6	30	34	94
6	43	43	104
6	44	29	91
7	14	1015	244
7	15	1050	245
7	16	1225	283
8	9	44	105
8	28	582	322
9	10	81	140
10	11	684	419
10	27	644	339
11	12	158	300
11	26	400	250
12	13	221	257
12	23	424	245
12	25	540	321
13	14	192	249
13	22	318	363
14	22	198	240
15	16	171	236
15	20	178	218
15	22	132	177
16	17	125	174
17	19	188	224
18	19	156	197
18	37	470	272
19	20	90	104
19	21	152	142
20	21	168	137
21	34	552	323
21	37	204	156
22	23	510	282
22	36	486	287
23	24	104	110
23	35	122	118
24	25	168	137
24	34	64	94
25	26	66	94
26	27	390	132
26	33	485	154
27	28	252	173
27	31	345	152
27	33	530	159
28	29	136	132
28	30	450	152
29	44	190	99
30	31	245	108
30	42	535	156
31	32	235	106
32	33	210	104
32	41	250	120
34	35	82	101
35	36	184	143
35	39	830	208
36	37	176	141
36	39	705	186
37	38	775	222
37	39	830	207
38	39	245	108
38	54	205	101
39	55	535	159
40	41	165	94
40	49	480	147
41	42	475	146
42	45	285	115
42	49	275	113
43	44	220	104
43	45	275	112
45	46	185	98
46	47	205	101
46	48	465	145
47	49	360	132
47	50	400	151
48	49	650	176
48	50	485	172
49	51	510	169
50	51	325	131
51	52	610	173
52	53	405	144
53	54	650	195
54	55	250	108
