1	3	3734	461
1	9	1274	208
1	13	710	154
1	17	2616	341
2	15	1048	185
2	34	969	176
2	38	783	159
2	90	2086	470
3	33	89	87
3	44	354	118
3	46	83	86
4	79	637	409
4	83	695	429
4	94	428	337
5	87	670	410
5	92	49	109
6	54	1770	368
6	65	585	374
6	86	612	414
6	98	577	372
7	51	692	432
7	82	522	372
8	20	870	171
8	36	1734	258
8	43	2181	310
8	72	1298	285
9	13	1931	272
9	17	3057	390
9	26	3266	407
9	85	1465	354
9	99	2770	371
10	28	480	131
10	31	787	164
10	40	672	148
10	95	994	179
11	21	2114	292
11	42	2276	308
11	48	1467	229
11	76	558	170
11	84	1221	206
12	16	964	176
12	25	967	181
12	31	921	175
13	26	1404	226
13	48	1488	238
13	70	585	137
14	17	1318	217
14	42	3583	456
14	48	2108	293
14	68	698	195
14	84	1203	209
15	34	331	113
15	39	617	144
16	19	753	158
16	35	493	131
17	48	2551	351
17	99	502	130
18	23	1179	207
18	38	608	140
18	95	1145	198
19	35	557	137
19	43	527	132
20	36	974	178
20	47	1352	225
21	32	1741	257
21	41	1835	260
22	30	1410	224
22	45	2118	301
22	55	1149	262
22	60	1490	322
23	28	1321	220
23	40	722	153
23	62	1958	394
24	33	753	158
24	37	1164	206
24	95	1903	269
25	31	747	155
25	35	958	180
26	42	662	151
26	43	1122	194
26	70	871	171
27	34	2193	303
27	39	2480	347
27	50	859	229
28	31	499	131
28	40	836	168
29	38	1518	242
29	49	1834	264
30	37	986	184
30	58	1658	392
31	40	1374	217
32	41	238	106
32	42	3125	417
33	46	53	81
34	39	722	152
35	46	598	139
36	45	860	165
37	39	553	136
38	40	1890	270
40	41	2097	293
40	95	851	168
41	78	530	175
42	43	1622	241
42	70	1380	216
43	47	487	132
44	47	146	94
45	46	1319	217
46	47	586	141
47	48	3157	418
48	84	907	175
49	88	446	152
50	96	222	209
51	69	816	460
51	73	481	348
51	91	418	288
51	93	380	308
52	80	596	377
52	97	720	437
53	80	290	228
53	88	367	260
53	90	564	398
54	86	87	130
55	59	473	297
55	72	711	443
56	62	723	467
56	78	439	286
56	79	694	434
57	63	419	278
57	77	446	309
57	87	715	440
57	96	580	355
57	98	405	273
58	96	244	207
58	98	345	235
59	67	213	184
60	86	391	260
61	69	422	274
62	81	548	400
63	64	611	434
63	65	101	136
63	90	503	368
64	74	155	150
64	90	424	304
64	92	428	299
66	69	332	251
66	91	234	216
67	75	428	277
68	83	376	262
68	91	501	307
69	83	358	268
71	87	343	260
71	92	238	208
72	75	442	157
73	85	715	414
73	89	527	389
74	87	234	188
74	92	448	291
75	85	659	409
76	94	719	430
77	96	180	177
78	81	623	370
78	97	459	347
79	83	659	459
80	87	377	286
80	88	213	183
81	97	580	352
82	89	144	163
82	93	503	373
83	91	496	337
83	94	269	216
85	89	497	366
85	93	713	431
86	96	226	187
87	90	247	227
