1	50000	50000
2	50000	100000
3	93301	75000
4	93301	25000
5	50000	0
6	6699	25000
7	6699	75000
8	50000	55357
9	55357	50000
10	50000	44643
11	44643	50000
12	50000	60714
13	57576	57576
14	60714	50000
15	57576	42424
16	50000	39286
17	42424	42424
18	39286	50000
19	42424	57576
20	50000	67857
21	58929	65465
22	65465	58929
23	67857	50000
24	65465	41071
25	58929	34535
26	50000	32143
27	41071	34535
28	34535	41071
29	32143	50000
30	34535	58929
31	41071	65465
32	50000	76786
33	60250	74747
34	68940	68940
35	74747	60250
36	76786	50000
37	74747	39750
38	68940	31060
39	60250	25253
40	50000	23214
41	39750	25253
42	31060	31060
43	25253	39750
44	23214	50000
45	25253	60250
46	31060	68940
47	39750	74747
48	50000	87500
49	61588	85665
50	72042	80338
51	80338	72042
52	85665	61588
53	87500	50000
54	85665	38412
55	80338	27958
56	72042	19662
57	61588	14335
58	50000	12500
59	38412	14335
60	27958	19662
61	19662	27958
62	14335	38412
63	12500	50000
64	14335	61588
65	19662	72042
66	27958	80338
67	38412	85665
68	62941	98296
69	75000	93301
70	85355	85355
71	98296	62941
72	100000	50000
73	98296	37059
74	85355	14645
75	75000	6699
76	62941	1704
77	37059	1704
78	25000	6699
79	14645	14645
80	1704	37059
81	0	50000
82	1704	62941
83	14645	85355
84	25000	93301
85	37059	98296
