1	386	161
2	586	245
3	471	168
4	1209	307
5	0	377
6	752	166
7	242	926
8	1126	230
9	1126	274
10	1067	329
11	789	528
12	684	646
13	615	856
14	424	837
15	269	718
16	98	728
17	74	605
18	119	389
19	229	499
20	242	542
21	304	486
22	378	644
23	565	470
24	603	435
25	664	377
26	689	355
27	746	302
28	835	213
29	781	172
30	746	199
31	718	239
32	671	236
33	645	269
34	573	423
35	532	419
36	441	409
37	354	397
38	413	254
39	460	269
40	590	225
41	621	236
42	653	147
43	718	139
44	762	139
45	682	98
46	682	61
47	643	72
48	612	0
49	601	130
50	564	84
51	502	104
52	383	130
53	303	143
54	413	213
55	430	166
