1	26955	14271
2	12155	14271
3	19555	14271
4	26913	7235
5	0	7297
6	3487	24221
7	40485	18544
8	22209	19037
9	28258	16387
10	16554	11662
11	24719	7862
12	19859	10689
13	25631	13727
14	29166	8761
15	14031	15078
16	20339	12488
17	30748	10900
18	12836	11867
19	21336	13622
20	21388	17475
21	20607	7635
22	16710	20645
23	14445	9994
24	18038	14770
25	18708	12278
26	22888	12998
27	10128	18169
28	17050	10805
29	10022	10347
30	15644	18048
31	18032	10980
32	17172	7836
33	19430	14148
34	13555	15507
35	20240	13475
36	19669	16674
37	15953	16057
38	12071	12737
39	14857	16020
40	15369	11083
41	17122	7340
42	22469	11693
43	21402	14639
44	20198	14641
45	18023	16544
46	19388	14249
47	20410	14833
48	25478	10660
49	6542	11167
50	10258	21069
51	36939	12684
52	7770	5586
53	6761	8717
54	9001	25236
55	17339	24133
56	21211	4873
57	4726	19842
58	11119	22078
59	20051	27375
60	12362	22459
61	34315	8213
62	13743	3931
63	1007	18816
64	1035	11926
65	196	19542
66	37140	8600
67	21948	26673
68	30760	7199
69	36734	5307
70	24641	13210
71	1467	9963
72	24209	22478
73	35917	17788
74	2270	11352
75	24615	23918
76	24214	6190
77	8942	21294
78	17256	5492
79	26795	831
80	4308	10219
81	18558	0
82	36512	22606
83	33152	4578
84	26714	9284
85	30424	21258
86	9939	24987
87	1920	13428
88	5360	11922
89	35393	23770
90	4567	14490
91	34608	9368
92	365	7727
93	35718	16956
94	30598	3859
95	14960	12747
96	8901	23177
97	13599	1812
98	8254	21144
99	31358	11651
